experiment,fault_param,fault_param_name,fault_param_val,trefi,trefi_val,ber,ppl,ppl_is_infinite,ppl_is_nan,tres_hours,temp_c,seed
fault_llama_fp16_bitwise16_bit16-5_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-5,bit16,5,trefi2048,2048,2.119474459327808e-05,12.885383525415772,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-6_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-6,bit16,6,trefi2048,2048,2.119474459327808e-05,12.885468545454563,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-7_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-7,bit16,7,trefi2048,2048,2.119474459327808e-05,12.885488268919755,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-8_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-8,bit16,8,trefi2048,2048,2.119474459327808e-05,12.885863695652777,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-9_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-9,bit16,9,trefi2048,2048,2.119474459327808e-05,12.886243055098625,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-10_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-10,bit16,10,trefi2048,2048,2.119474459327808e-05,12.88723750934006,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-11_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-11,bit16,11,trefi2048,2048,2.119474459327808e-05,12.901983254147588,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-12_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-12,bit16,12,trefi2048,2048,2.119474459327808e-05,13.86860918700437,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-13_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-13,bit16,13,trefi2048,2048,2.119474459327808e-05,42.402239236609546,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-14_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-14,bit16,14,trefi2048,2048,2.119474459327808e-05,nan,False,True,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-15_bersem-independent_lpddr5_Vendor-A_trefi2048_tres1h_T45_ber-2.119474459327808e-05_seed-42,bit16-15,bit16,15,trefi2048,2048,2.119474459327808e-05,12.896782686061043,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-0_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-0,bit16,0,trefi3200,3200,7.774046816089175e-05,12.885334689611827,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-1_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-1,bit16,1,trefi3200,3200,7.774046816089175e-05,12.885357157270064,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-2_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-2,bit16,2,trefi3200,3200,7.774046816089175e-05,12.885391705991749,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-3_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-3,bit16,3,trefi3200,3200,7.774046816089175e-05,12.885243947044541,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-4_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-4,bit16,4,trefi3200,3200,7.774046816089175e-05,12.885510374868094,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-5_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-5,bit16,5,trefi3200,3200,7.774046816089175e-05,12.885559346873563,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-6_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-6,bit16,6,trefi3200,3200,7.774046816089175e-05,12.885181085410219,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-7_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-7,bit16,7,trefi3200,3200,7.774046816089175e-05,12.88547986486526,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-8_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-8,bit16,8,trefi3200,3200,7.774046816089175e-05,12.886160096550748,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-9_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-9,bit16,9,trefi3200,3200,7.774046816089175e-05,12.887502492634871,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-10_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-10,bit16,10,trefi3200,3200,7.774046816089175e-05,12.893274985346208,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-11_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-11,bit16,11,trefi3200,3200,7.774046816089175e-05,12.93997476115476,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-12_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-12,bit16,12,trefi3200,3200,7.774046816089175e-05,16.6383541051879,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-13_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-13,bit16,13,trefi3200,3200,7.774046816089175e-05,16170677.314756373,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-14_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-14,bit16,14,trefi3200,3200,7.774046816089175e-05,nan,False,True,1.0,45.0,42
