model,scheme,baseline_total_energy,config_total_energy,baseline_ref_energy,config_ref_energy,normalized_total_energy,normalized_refresh_energy
llama,Freya,327210435.8245732,272976108.93448704,78421003.81984127,26003692.848344635,0.8342524536131766,0.3315909205661743
llama,PCM,407901935.5967999,481458329.10916674,143758715.10174716,155866194.10652158,1.1803286209092063,1.0842208348635085
llama,Approx,327210435.8245732,3359806837.7820234,78421003.81984127,1331187839.7910306,10.268030814222902,16.974889059686166
opt,Freya,961820960.6514139,802938597.1346196,229538356.0521792,76170319.38238944,0.8348108743552565,0.3318413562440703
opt,PCM,1196874436.5060675,1414451744.968482,420203433.40145653,457383776.81328374,1.1817879151112702,1.0884817696772735
opt,Approx,961820960.6514139,10079683820.082193,229538356.0521792,3993108609.006417,10.47979221959928,17.396258637047545
resnet,Freya,46194722.08093641,38885940.502968624,10773984.49665408,3619265.1174700796,0.8417831897513685,0.3359263342725305
resnet,PCM,54710819.31793792,67726110.1551216,17202123.149951994,21418623.105684478,1.2378924497830794,1.2451150895140668
resnet,Approx,46194722.08093641,475272540.63614136,10773984.49665408,187692761.64592513,10.288459789917782,17.4209236800196
